label,potential_home_1,potential_home_2,overall_rating_home_3,overall_rating_home_4,overall_rating_home_5,ball_control_home_5,overall_rating_home_6,potential_home_6,overall_rating_home_7,overall_rating_home_8,overall_rating_home_9,positioning_home_10,overall_rating_home_11,overall_rating_away_1,overall_rating_away_2,overall_rating_away_3,potential_away_3,overall_rating_away_4,marking_away_4,standing_tackle_away_4,overall_rating_away_5,overall_rating_away_6,overall_rating_away_7,overall_rating_away_8,overall_rating_away_9,positioning_away_10,overall_rating_away_11,potential_away_11
0,70.0,71.0,68.0,64.0,64.0,61.0,62.0,65.0,61.0,71.0,68.0,48.0,66.0,67.0,58.0,66.0,66.0,62.0,61.0,62.0,49.0,65.0,64.0,67.0,66.0,68.0,62.0,70.0
0,63.0,66.0,64.0,61.0,61.0,56.0,64.0,67.0,64.0,68.0,64.0,62.0,70.0,67.0,62.0,61.0,72.0,49.0,42.0,50.0,65.0,64.0,67.0,65.0,66.0,68.0,62.0,70.0
1,72.0,74.0,71.0,70.0,72.0,75.0,76.0,85.0,65.0,69.0,73.0,83.0,73.0,67.0,66.0,62.0,65.0,61.0,60.0,59.0,49.0,65.0,67.0,65.0,66.0,68.0,62.0,70.0
2,70.0,69.0,64.0,60.0,66.0,66.0,65.0,70.0,65.0,65.0,65.0,65.0,65.3,67.0,58.0,62.0,65.0,59.0,61.0,62.0,64.0,65.0,67.0,65.0,66.0,62.0,62.0,70.0
1,72.0,68.0,59.0,67.0,62.0,67.0,64.0,64.0,65.0,65.0,72.0,58.0,66.0,67.0,58.0,59.0,67.0,62.0,61.0,62.0,61.0,65.0,64.0,65.0,66.0,62.0,62.0,70.0
1,78.0,66.0,70.0,69.0,72.0,67.0,68.0,71.0,66.0,74.0,71.0,61.0,69.0,67.0,58.0,61.0,72.0,49.0,42.0,50.0,65.0,64.0,67.0,65.0,66.0,62.0,61.0,61.0
1,67.0,64.0,68.0,65.0,64.0,64.0,68.0,68.0,66.0,64.0,68.0,70.0,67.0,66.0,64.0,64.0,64.0,63.0,62.0,64.0,63.0,64.0,69.0,64.0,65.0,62.0,70.0,73.0
0,73.0,67.0,69.0,69.0,65.0,67.0,67.0,71.0,67.0,68.0,69.0,58.0,70.0,66.0,63.0,64.0,64.0,63.0,62.0,64.0,63.0,64.0,69.0,65.0,65.0,62.0,70.0,73.0
0,68.0,66.0,66.0,65.0,63.0,70.0,68.0,76.0,66.0,66.0,64.0,57.0,65.0,66.0,63.0,64.0,64.0,63.0,62.0,64.0,65.0,65.0,65.0,69.0,64.0,64.0,66.0,71.0
0,72.0,71.0,70.0,69.0,71.0,72.0,70.0,71.0,68.0,67.0,70.0,71.0,69.0,66.0,63.0,65.0,68.0,64.0,63.0,65.0,64.0,64.0,69.0,65.0,64.0,56.0,66.0,71.0
2,69.0,64.0,64.0,63.0,64.0,57.0,65.0,71.0,65.0,64.0,67.0,63.0,64.0,66.0,64.0,68.0,70.0,63.0,62.0,64.0,65.0,69.0,65.0,64.0,66.0,71.0,66.0,66.0
2,70.0,75.0,64.0,65.0,66.0,66.0,68.0,75.0,70.0,65.0,65.0,64.0,63.0,66.0,64.0,68.0,70.0,63.0,62.0,64.0,63.0,69.0,65.0,64.0,64.0,71.0,70.0,73.0
1,72.0,71.0,72.0,71.0,61.0,59.0,71.0,77.0,70.0,74.0,73.0,71.0,70.0,66.0,64.0,68.0,70.0,64.0,63.0,65.0,63.0,66.0,65.0,70.0,64.0,75.0,66.0,66.0
0,69.0,80.0,70.0,67.0,69.0,71.0,70.0,74.0,73.0,70.0,72.0,74.0,75.0,66.0,64.0,68.0,70.0,63.0,63.0,62.0,65.0,65.0,64.0,64.0,69.0,71.0,66.0,66.0
0,68.0,63.0,66.0,65.0,64.0,61.0,67.0,67.0,67.0,64.0,68.0,63.0,72.0,66.0,68.0,63.0,70.0,63.0,63.0,65.0,64.0,64.0,69.0,65.0,65.0,71.0,66.0,71.0
1,75.0,72.0,75.0,73.0,70.0,67.0,76.0,78.0,71.0,71.0,72.0,79.0,79.0,66.0,64.0,68.0,70.0,63.0,63.0,62.0,65.0,65.0,70.72549019607843,65.0,69.0,64.0,70.0,73.0
1,71.0,70.0,66.0,69.0,69.0,69.0,66.0,74.0,69.0,72.0,74.0,72.0,67.0,66.0,68.0,65.0,68.0,63.0,63.0,62.0,64.0,69.0,65.0,65.0,71.94,71.0,66.0,73.0
1,74.0,68.0,66.0,63.0,64.0,57.0,65.0,65.0,67.0,69.0,66.0,80.0,66.0,66.0,65.0,63.0,70.0,63.0,63.0,65.0,64.0,64.0,69.0,65.0,70.0,64.0,66.0,71.0
1,69.0,69.0,71.0,69.0,71.0,60.0,73.0,75.0,73.0,72.0,72.0,81.0,74.0,66.0,64.0,68.0,70.0,65.0,64.0,65.0,65.0,65.0,69.0,65.0,64.0,71.0,66.0,71.0
2,68.0,70.0,66.0,66.0,65.0,62.0,68.0,69.0,67.0,67.0,64.0,77.0,67.0,66.0,64.0,68.0,70.0,65.0,64.0,65.0,63.0,65.0,64.0,65.0,70.0,62.0,60.0,70.0
0,73.0,69.0,68.0,65.0,65.0,65.0,67.0,67.0,68.0,64.0,66.0,61.0,65.0,66.0,64.0,68.0,70.0,65.0,64.0,65.0,63.0,64.0,64.0,69.0,71.94,62.0,70.0,73.0
1,71.0,78.0,74.0,75.0,71.0,71.0,68.0,80.0,72.0,71.0,70.0,68.0,71.0,63.0,66.0,66.0,66.0,66.0,65.0,66.0,64.0,69.0,63.0,70.0,68.0,58.0,65.0,69.0
1,68.0,70.0,73.0,68.0,67.0,63.0,70.0,71.0,65.0,67.0,66.0,74.0,69.0,69.0,66.0,63.0,69.0,66.0,65.0,66.0,64.0,69.0,68.0,66.0,70.0,66.0,66.0,66.0
1,73.0,69.0,72.0,72.0,67.0,70.0,67.0,73.0,66.0,70.0,64.0,73.0,68.0,69.0,66.0,66.0,66.0,64.0,64.0,66.0,66.0,66.0,69.0,62.0,64.0,71.0,70.0,70.0
0,70.0,67.0,71.0,72.0,72.0,58.0,69.0,73.0,69.0,70.0,69.0,58.0,68.0,69.0,64.0,65.0,65.0,67.35714285714286,66.32142857142857,67.35714285714286,66.0,65.0,68.0,66.0,62.0,67.0,70.0,78.0
0,70.0,71.0,75.0,70.0,72.0,63.0,75.0,75.0,70.0,73.0,71.0,70.0,69.0,69.0,64.96875,65.0,65.0,66.0,66.0,69.0,66.0,62.0,69.0,66.0,64.0,66.0,70.0,70.0
2,70.0,76.0,64.0,70.0,72.0,68.0,69.0,72.0,66.0,69.0,73.0,73.0,66.0,69.0,66.0,66.0,69.0,65.0,64.0,67.0,64.0,70.0,69.0,68.0,66.0,66.0,64.0,71.0
1,70.0,78.0,73.0,73.0,73.0,70.0,71.0,71.0,75.0,73.0,73.0,82.0,73.0,69.0,66.0,66.0,66.0,64.0,64.0,66.0,65.0,64.0,62.0,66.0,69.0,66.0,65.0,69.0
1,70.0,69.0,73.0,68.0,66.0,43.0,72.0,76.0,69.0,70.0,71.0,63.0,72.0,69.0,66.0,66.0,66.0,64.0,64.0,66.0,65.0,70.0,66.0,62.0,70.0,63.0,65.0,69.0
1,75.0,74.0,76.0,74.0,70.0,68.0,75.0,84.0,77.0,74.0,78.0,75.0,72.0,69.0,66.0,66.0,66.0,67.35714285714286,66.32142857142857,67.35714285714286,65.0,66.0,70.0,68.0,70.0,67.0,66.0,66.0
1,70.0,70.0,70.0,66.0,70.0,64.0,70.0,70.0,68.0,70.0,70.0,72.0,72.0,69.0,66.0,66.0,66.0,67.35714285714286,66.32142857142857,67.35714285714286,65.0,66.0,68.0,70.0,69.0,66.0,65.0,69.0
0,65.0,67.0,72.0,66.0,62.0,62.0,69.0,75.0,71.0,63.0,68.0,71.0,64.0,69.0,66.0,66.46875,69.6875,66.0,65.0,66.0,65.0,66.0,68.0,69.0,70.0,58.0,70.0,70.0
0,71.0,71.0,70.0,66.0,66.0,61.0,71.0,75.0,71.0,69.0,65.0,69.0,72.0,69.0,66.0,71.0,71.0,66.0,65.0,66.0,65.0,70.0,68.0,69.0,66.0,66.0,66.0,66.0
0,69.0,71.0,63.0,64.0,66.0,71.0,68.0,71.0,67.0,69.0,72.0,62.0,62.0,69.0,66.0,71.0,71.0,67.35714285714286,66.32142857142857,67.35714285714286,65.0,70.0,66.0,69.0,68.0,66.0,66.0,66.0
1,72.0,69.0,64.0,66.0,66.0,66.0,62.0,65.0,68.0,68.0,69.0,68.0,64.0,69.0,66.0,66.0,66.0,67.35714285714286,66.32142857142857,67.35714285714286,65.0,70.0,66.0,69.0,68.0,66.0,65.0,65.0
0,81.0,73.0,72.0,73.0,72.0,72.0,74.0,77.0,78.0,72.0,64.0,77.0,74.0,69.0,66.0,66.0,66.0,71.0,71.0,71.0,65.0,66.0,69.0,68.0,70.0,71.0,70.0,78.0
2,64.0,66.0,61.0,61.64516129032258,63.0,55.0,64.0,66.0,61.0,62.0,67.0,60.0,63.0,64.0,64.0,63.0,66.0,66.0,58.0,64.0,60.0,69.0,65.0,69.0,64.0,63.0,57.0,57.0
